user_id,group,platform,user_tenure_days,games_watched_30d,favorite_team_playing,clicked,session_duration_sec
0,control,iOS,235,9,False,0,182
1,treatment,iOS,36,6,True,0,219
2,treatment,iOS,76,6,False,0,139
3,treatment,Android,195,6,False,0,223
4,control,iOS,118,7,False,0,214
5,control,Android,241,2,True,0,161
6,control,iOS,584,7,True,0,236
7,treatment,Android,22,7,False,0,209
8,treatment,Android,222,5,False,1,546
9,treatment,Android,47,3,True,1,316
10,control,Android,96,6,False,0,231
11,treatment,Android,6,8,False,0,147
12,treatment,Android,26,8,False,0,219
13,control,iOS,69,8,True,0,113
14,control,iOS,75,3,False,1,553
15,control,iOS,413,3,False,0,84
16,control,iOS,243,3,True,0,84
17,treatment,iOS,644,4,False,0,151
18,control,iOS,164,4,True,0,255
19,control,iOS,49,7,True,0,243
20,treatment,iOS,71,12,False,0,221
21,control,iOS,69,4,False,0,212
22,control,Android,71,7,True,0,137
23,control,iOS,201,2,True,1,437
24,control,Android,136,12,False,0,259
25,treatment,iOS,87,6,False,0,248
26,control,Android,29,5,False,0,121
27,treatment,Android,4,9,True,0,192
28,treatment,Android,44,9,False,1,381
29,control,Android,20,8,False,1,517
30,treatment,iOS,277,3,True,0,95
31,control,Android,21,7,True,0,196
32,control,Android,231,7,False,0,170
33,treatment,Android,87,3,False,0,152
34,treatment,Android,13,11,False,0,173
35,treatment,iOS,301,9,False,1,452
36,control,Android,155,5,False,0,199
37,control,iOS,48,6,False,0,253
38,treatment,iOS,405,5,False,1,575
39,control,iOS,8,7,True,0,227
40,control,Android,40,9,False,0,152
41,control,iOS,251,6,False,0,137
42,control,iOS,222,6,True,0,139
43,treatment,iOS,61,4,True,0,233
44,control,Android,11,5,False,0,225
45,treatment,Android,351,7,False,0,77
46,control,iOS,67,4,False,0,240
47,treatment,iOS,39,9,True,0,195
48,treatment,Android,130,10,True,0,181
49,control,Android,433,4,False,0,246
50,treatment,Android,8,3,False,0,196
51,treatment,iOS,261,11,False,1,390
52,treatment,Android,152,3,True,0,134
