user_id,group,platform,user_tenure_days,games_watched_30d,favorite_team_playing,clicked,session_duration_sec,engagement_tier
0,control,iOS,235,9,False,0,182,High (8+)
1,treatment,iOS,36,6,True,0,219,Mid (4-7)
2,treatment,iOS,76,6,False,0,139,Mid (4-7)
3,treatment,Android,195,6,False,0,223,Mid (4-7)
4,control,iOS,118,7,False,0,214,Mid (4-7)
5,control,Android,241,2,True,0,161,Low (0-3)
6,control,iOS,584,7,True,0,236,Mid (4-7)
7,treatment,Android,22,7,False,0,209,Mid (4-7)
8,treatment,Android,222,5,False,1,546,Mid (4-7)
9,treatment,Android,47,3,True,1,316,Low (0-3)
10,control,Android,96,6,False,0,231,Mid (4-7)
11,treatment,Android,6,8,False,0,147,High (8+)
12,treatment,Android,26,8,False,0,219,High (8+)
13,control,iOS,69,8,True,0,113,High (8+)
14,control,iOS,75,3,False,1,553,Low (0-3)
15,control,iOS,413,3,False,0,84,Low (0-3)
16,control,iOS,243,3,True,0,84,Low (0-3)
17,treatment,iOS,644,4,False,0,151,Mid (4-7)
18,control,iOS,164,4,True,0,255,Mid (4-7)
19,control,iOS,49,7,True,0,243,Mid (4-7)
20,treatment,iOS,71,12,False,0,221,High (8+)
21,control,iOS,69,4,False,0,212,Mid (4-7)
22,control,Android,71,7,True,0,137,Mid (4-7)
23,control,iOS,201,2,True,1,437,Low (0-3)
24,control,Android,136,12,False,0,259,High (8+)
25,treatment,iOS,87,6,False,0,248,Mid (4-7)
26,control,Android,29,5,False,0,121,Mid (4-7)
27,treatment,Android,4,9,True,0,192,High (8+)
28,treatment,Android,44,9,False,1,381,High (8+)
29,control,Android,20,8,False,1,517,High (8+)
30,treatment,iOS,277,3,True,0,95,Low (0-3)
31,control,Android,21,7,True,0,196,Mid (4-7)
32,control,Android,231,7,False,0,170,Mid (4-7)
33,treatment,Android,87,3,False,0,152,Low (0-3)
34,treatment,Android,13,11,False,0,173,High (8+)
35,treatment,iOS,301,9,False,1,452,High (8+)
36,control,Android,155,5,False,0,199,Mid (4-7)
37,control,iOS,48,6,False,0,253,Mid (4-7)
38,treatment,iOS,405,5,False,1,575,Mid (4-7)
39,control,iOS,8,7,True,0,227,Mid (4-7)
40,control,Android,40,9,False,0,152,High (8+)
41,control,iOS,251,6,False,0,137,Mid (4-7)
42,control,iOS,222,6,True,0,139,Mid (4-7)
43,treatment,iOS,61,4,True,0,233,Mid (4-7)
44,control,Android,11,5,False,0,225,Mid (4-7)
45,treatment,Android,351,7,False,0,77,Mid (4-7)
46,control,iOS,67,4,False,0,240,Mid (4-7)
47,treatment,iOS,39,9,True,0,195,High (8+)
48,treatment,Android,130,10,True,0,181,High (8+)
49,control,Android,433,4,False,0,246,Mid (4-7)
50,treatment,Android,8,3,False,0,196,Low (0-3)
51,treatment,iOS,261,11,False,1,390,High (8+)
52,treatment,Android,152,3,True,0,134,Low (0-3)
53,treatment,iOS,99,7,True,0,193,Mid (4-7)
54,treatment,iOS,245,11,False,0,190,High (8+)
55,treatment,iOS,607,3,False,1,397,Low (0-3)
56,control,iOS,46,7,False,0,318,Mid (4-7)
57,control,Android,27,7,True,0,255,Mid (4-7)
58,control,iOS,439,7,False,0,126,Mid (4-7)
59,control,iOS,198,5,True,1,359,Mid (4-7)
60,control,iOS,103,5,False,0,162,Mid (4-7)
61,control,iOS,153,5,True,0,195,Mid (4-7)
62,treatment,iOS,246,8,False,0,120,High (8+)
63,control,iOS,266,8,False,0,93,High (8+)
64,control,iOS,454,5,True,0,99,Mid (4-7)
65,treatment,Android,100,7,False,1,468,Mid (4-7)
66,control,Android,62,7,False,0,135,Mid (4-7)
67,treatment,Android,183,6,False,0,307,Mid (4-7)
68,control,iOS,96,6,False,0,152,Mid (4-7)
69,treatment,Android,162,5,True,1,570,Mid (4-7)
70,treatment,Android,98,4,False,0,114,Mid (4-7)
71,control,Android,29,5,False,0,131,Mid (4-7)
72,control,Android,114,6,True,0,120,Mid (4-7)
73,treatment,iOS,211,6,True,0,142,Mid (4-7)
74,treatment,Android,289,3,False,0,178,Low (0-3)
75,treatment,iOS,122,8,False,0,245,High (8+)
76,treatment,iOS,32,7,False,0,261,Mid (4-7)
77,control,iOS,96,6,False,0,219,Mid (4-7)
78,control,iOS,277,5,False,0,224,Mid (4-7)
79,control,Android,95,8,False,0,157,High (8+)
80,treatment,iOS,214,5,True,0,304,Mid (4-7)
81,treatment,iOS,127,9,False,0,134,High (8+)
82,control,Android,49,6,False,0,176,Mid (4-7)
83,control,iOS,286,8,False,0,155,High (8+)
84,control,iOS,15,7,True,0,240,Mid (4-7)
85,control,Android,133,2,False,0,153,Low (0-3)
86,treatment,Android,42,6,False,0,190,Mid (4-7)
87,treatment,iOS,12,7,True,1,322,Mid (4-7)
88,treatment,Android,125,6,False,1,434,Mid (4-7)
89,control,iOS,124,6,False,0,216,Mid (4-7)
90,control,iOS,220,3,True,0,200,Low (0-3)
91,treatment,iOS,245,4,True,0,131,Mid (4-7)
92,treatment,iOS,234,8,False,0,146,High (8+)
93,treatment,Android,94,4,True,0,173,Mid (4-7)
94,treatment,Android,179,3,False,0,192,Low (0-3)
95,control,iOS,154,7,False,0,266,Mid (4-7)
